insee_c,libgeo,dep,reg,loyer_petit,revenu_menage_proxy,revenu_menage_d1,effort_median_petit,effort_d1_petit,fiable_loyer_petit,loyer_familial,effort_median_familial,effort_d1_familial,fiable_loyer_familial,prix_m2_tous,prix_m2_appart,n_ventes_tous,surface_financable,categorie_surface,fiable_prix,tension_2025,echec_loc_med,echec_loc_d1,echec_achat,echec_social,n_legs_dispo,triple_peine_median,triple_peine_d1
01001,L'Abergement-Clémenciat,01,84,423.817,44088,,11.5356,,True,803.12,21.8595,,True,2847.73,,16,77.4746,Correct,True,4.7,False,,False,False,3,0,
01002,L'Abergement-de-Varey,01,84,461.705,38529.4,,14.3798,,True,748.31,23.3062,,True,1769.03,,3,108.992,Confortable,False,4.7,False,,,False,2,,
01004,Ambérieu-en-Bugey,01,84,497.143,32855.6,18035.7,18.1574,33.0773,True,798.392,29.16,53.1208,True,2640.45,2823.53,175,62.2685,Correct,True,4.7,False,True,False,False,3,0,0
01005,Ambérieux-en-Dombes,01,84,553.836,40904.9,25862.7,16.2475,25.6974,True,810.097,23.7653,37.5876,True,3087.29,3096.18,34,66.3032,Correct,True,4.7,False,True,False,False,3,0,0
01006,Ambléon,01,84,418.858,36362.5,,13.8228,,True,672.74,22.2011,,True,1973.68,10500,7,92.1961,Confortable,False,4.7,False,,,False,2,,
01007,Ambronay,01,84,461.705,40223.2,24544.9,13.7743,22.5727,True,748.31,22.3247,36.5849,True,2200,10389.6,47,91.4937,Confortable,True,4.7,False,True,False,False,3,0,0
01008,Ambutrix,01,84,602.271,41652.4,,17.3513,,True,748.31,21.5587,,True,2890.35,,8,72.1152,Correct,False,4.7,False,,,False,2,,
01009,Andert-et-Condon,01,84,492.806,40580.9,,14.5725,,True,672.74,19.8933,,True,1907.54,,2,106.46,Confortable,False,4.7,False,,,False,2,,
01010,Anglefort,01,84,568.003,39032.2,,17.4626,,True,712.078,21.892,,True,2641.41,1965,18,73.9474,Correct,True,4.7,False,,False,False,3,0,
01011,Apremont,01,84,394.031,40512.6,,11.6714,,True,682.303,20.2101,,True,1601.07,1792.45,2,126.624,Confortable,False,4.7,False,,,False,2,,
01012,Aranc,01,84,461.705,37601.6,,14.7346,,True,651.747,20.7995,,True,1094.89,,4,171.86,Confortable,False,4.7,False,,,False,2,,
01013,Arandas,01,84,418.858,31184.4,,16.118,,True,651.747,25.0797,,True,894.231,894.231,1,174.512,Confortable,False,4.7,False,,,False,2,,
01014,Arbent,01,84,408.292,37708.4,21521.2,12.9932,22.766,True,717.161,22.8223,39.9881,True,2175,2175,23,86.7593,Correct,True,4.7,False,True,False,False,3,0,0
01015,Arboys en Bugey,01,84,492.806,37920.3,,15.595,,True,708.815,22.4307,,True,1914.29,,14,99.1293,Confortable,True,4.7,False,,False,False,3,0,
01016,Arbigny,01,84,434.054,38507.8,,13.5262,,True,577.847,18.0071,,True,2227.85,,3,86.4967,Correct,False,4.7,False,,,False,2,,
01017,Argis,01,84,392.025,31452.9,,14.9567,,True,605.571,23.1039,,True,1814.1,,12,86.7633,Correct,True,4.7,False,,False,False,3,0,
01019,Armix,01,84,492.806,,,,,True,651.747,,,True,1396.83,,1,,,False,4.7,,,,False,1,,
01021,Ars-sur-Formans,01,84,512.498,44028.2,,13.9683,,True,791.61,21.5755,,True,2953.25,,14,74.6048,Correct,True,4.7,False,,False,False,3,0,
01022,Artemare,01,84,392.025,32072.5,,14.6677,,True,651.747,24.3853,,True,2386.97,3071.43,18,67.2392,Correct,True,4.7,False,,False,False,3,0,
01023,Asnières-sur-Saône,01,84,421.063,,,,,True,668.55,,,True,884.663,,3,,,False,4.7,,,,False,1,,
01024,Attignat,01,84,458.311,39600.5,24770.5,13.8881,22.2027,True,728.095,22.0632,35.2723,True,2205.88,1798.36,41,89.837,Correct,True,4.7,False,True,False,False,3,0,0
01025,Bâgé-Dommartin,01,84,434.054,42219.6,27337.5,12.337,19.0531,True,668.55,19.0021,29.3465,True,2467.18,714.286,54,85.6348,Correct,True,4.7,False,False,False,False,3,0,0
01026,Bâgé-le-Châtel,01,84,434.054,34616.6,,15.0467,,True,658.724,22.835,,True,2165.59,2205.19,24,79.9917,Correct,True,4.7,False,,False,False,3,0,
01027,Balan,01,84,602.271,44138.4,,16.3741,,True,940.326,25.5649,,True,3025.34,3215.38,18,73.0094,Correct,True,4.7,False,,False,False,3,0,
01028,Baneins,01,84,423.817,43575.1,,11.6714,,True,803.12,22.1168,,True,2754.39,,5,79.1682,Correct,False,4.7,False,,,False,2,,
01029,Beaupont,01,84,401.102,34144.4,,14.0967,,True,501.651,17.6304,,True,1626.06,,10,105.08,Confortable,True,4.7,False,,False,False,3,0,
01030,Beauregard,01,84,539.668,37758.5,,17.1512,,True,778.697,24.7477,,True,2186.46,1936.15,14,86.4192,Correct,True,4.7,False,,False,False,3,0,
01031,Bellignat,01,84,425.775,31325.2,17087.9,16.3105,29.9002,True,682.303,26.1375,47.9149,True,1815.22,1622.22,29,86.3579,Correct,True,4.7,False,True,False,False,3,0,0
01032,Béligneux,01,84,602.271,39042.3,24481.9,18.5113,29.5208,True,940.326,28.9018,46.0909,True,2817.14,3047.77,25,69.3527,Correct,True,4.7,False,True,False,False,3,0,0
01033,Valserhône,01,84,785.862,36903.1,17210.1,25.5543,54.7954,True,1198.32,38.9665,83.5549,True,3020.26,2676.47,200,61.1443,Correct,True,4.7,True,True,False,False,3,0,0
