dimension,cle,libelle,bon,moyen,insuffisant,renseigne,total_dpe,pct_insuffisant,pct_bon
par_departement,39,39,7099,13663,13812,34574,47744,39.9491,20.5328
par_departement,08,08,6661,13629,15513,35803,59438,43.3288,18.6046
par_departement,52,52,6493,9772,9261,25526,38022,36.2807,25.4368
par_departement,03,03,6347,25013,20883,52243,70264,39.9728,12.149
par_departement,36,36,6329,13955,13456,33740,54134,39.8814,18.7582
par_departement,41,41,5942,18060,21887,45889,58792,47.6955,12.9486
par_departement,65,65,5745,15215,15822,36782,49934,43.0156,15.6191
par_departement,04,04,5670,12613,11691,29974,38373,39.0038,18.9164
par_departement,46,46,5575,9562,10248,25385,29868,40.3703,21.9618
par_departement,70,70,5565,9227,10099,24891,34454,40.5729,22.3575
par_departement,82,82,5547,17984,13854,37385,43387,37.0576,14.8375
par_departement,19,19,5471,17274,14013,36758,42806,38.1223,14.8838
par_departement,61,61,5314,14233,23761,43308,54770,54.8652,12.2703
par_departement,2A,2A,4924,9084,6632,20640,26328,32.1318,23.8566
par_departement,09,09,4610,10955,10277,25842,30690,39.7686,17.8392
par_departement,32,32,4252,11304,10009,25565,32410,39.1512,16.6321
par_departement,43,43,4245,11296,11673,27214,37311,42.8934,15.5986
par_departement,53,53,3862,16413,19157,39432,51947,48.5824,9.79408
par_departement,05,05,3844,10644,11107,25595,39747,43.3952,15.0186
par_departement,2B,2B,3836,8475,6442,18753,25597,34.3518,20.4554
par_departement,90,90,3671,9411,6269,19351,34831,32.3963,18.9706
par_departement,15,15,3604,9321,7244,20169,23835,35.9165,17.869
par_departement,55,55,2933,9650,9146,21729,31346,42.0912,13.4981
par_departement,48,48,2567,3592,3260,9419,10440,34.6109,27.2534
par_departement,23,23,2434,6376,7905,16715,22242,47.2929,14.5618
par_departement,972,972,667,4201,1846,6714,7097,27.4948,9.93447
par_departement,974,974,102,188,196,486,912,40.3292,20.9877
par_departement,971,971,83,298,173,554,646,31.2274,14.9819
par_departement,973,973,15,49,17,81,104,20.9877,18.5185
par_departement,976,976,3,10,7,20,37,35,15
par_departement,988,988,2,12,6,20,21,30,10
par_departement,975,975,0,2,0,2,2,0,0
par_departement,978,978,0,0,4,4,4,100,0
par_energie,Gaz naturel,Gaz naturel,774379,1.64514e+06,1.47475e+06,3894263,6.11194e+06,37.8697,19.8851
par_energie,Électricité,Électricité,684200,2.2795e+06,1.93663e+06,4900335,6.08753e+06,39.5204,13.9623
par_energie,Réseau de Chauffage urbain,Réseau de Chauffage urbain,131815,204387,139474,475676,1.86058e+06,29.3212,27.7111
par_energie,Fioul domestique,Fioul domestique,120593,150924,317840,589357,636444,53.93,20.4618
par_energie,Bois – Bûches,Bois – Bûches,45078,80554,174650,300282,323988,58.162,15.0119
par_energie,Bois – Granulés (pellets) ou briquettes,Bois – Granulés (pellets) ou briquettes,20036,39951,61503,121490,134690,50.6239,16.4919
par_energie,Propane,Propane,7975,7648,6190,21813,22091,28.3776,36.5608
par_energie,GPL,GPL,7659,25396,30065,63120,85949,47.6315,12.134
par_energie,Charbon,Charbon,781,244,2070,3095,3237,66.8821,25.2342
par_energie,Bois – Plaquettes forestières,Bois – Plaquettes forestières,378,1385,1210,2973,8641,40.6996,12.7144
par_energie,Butane,Butane,208,111,143,462,483,30.9524,45.0216
par_energie,Bois – Plaquettes d’industrie,Bois – Plaquettes d’industrie,197,858,290,1345,2239,21.5613,14.6468
par_energie,Réseau de Froid Urbain,Réseau de Froid Urbain,10,2,7,19,19,36.8421,52.6316
par_energie,Non affecté,Non affecté,3,1,2,6,11,33.3333,50
par_energie,Électricité d'origine renouvelable utilisée dans le bâtiment,Électricité d'origine renouvelable utilisée dans le bâtiment,0,0,0,0,2308,,
par_periode,1948-1974,1948-1974,714153,995989,1.08742e+06,2797563,4.83158e+06,38.8703,25.5277
par_periode,avant 1948,avant 1948,432395,1.05483e+06,1.9333e+06,3420523,4.02854e+06,56.5206,12.6412
par_periode,1989-2000,1989-2000,138989,522656,277095,938740,1.4184e+06,29.5178,14.8059
par_periode,2006-2012,2006-2012,105986,482779,167535,756300,1.09776e+06,22.1519,14.0138
par_periode,1978-1982,1978-1982,93335,261065,168230,522630,823633,32.1891,17.8587
par_periode,2013-2021,2013-2021,92217,431038,115021,638276,1.02815e+06,18.0206,14.4478
par_periode,1983-1988,1983-1988,74269,224091,153919,452279,726189,34.0319,16.4211
par_periode,1975-1977,1975-1977,74153,176366,113062,363581,638451,31.0968,20.3952
par_periode,2001-2005,2001-2005,52748,223045,103612,379405,508748,27.3091,13.9028
par_periode,après 2021,après 2021,15067,64247,25625,104939,178692,24.4189,14.3579
par_batiment,appartement,appartement,1.11994e+06,2.97758e+06,2.03066e+06,6128178,1.0343e+07,33.1364,18.2753
par_batiment,maison,maison,668028,1.4504e+06,2.10845e+06,4226882,4.54452e+06,49.882,15.8043
par_batiment,immeuble,immeuble,5343,8120,5713,19176,392675,29.7924,27.863
paris_arrondissements,75120,75120,9928,15231,25081,50240,73844,49.9224,19.7611
paris_arrondissements,75115,75115,6771,21028,29170,56969,92873,51.2033,11.8854
paris_arrondissements,75112,75112,6360,12606,21633,40599,57683,53.2846,15.6654
paris_arrondissements,75116,75116,5059,14191,23935,43185,55644,55.4243,11.7147
paris_arrondissements,75118,75118,4171,13245,28742,46158,65924,62.2687,9.03635
paris_arrondissements,75117,75117,4140,12550,27006,43696,67413,61.8043,9.47455
paris_arrondissements,75119,75119,3839,10053,13755,27647,59395,49.7522,13.8858
paris_arrondissements,75114,75114,3667,10730,16217,30614,53738,52.9725,11.9782
paris_arrondissements,75111,75111,3561,11219,23902,38682,55504,61.791,9.20583
paris_arrondissements,75113,75113,3167,10537,14686,28390,74805,51.7295,11.1553
paris_arrondissements,75107,75107,1916,5195,10904,18015,20249,60.5273,10.6356
paris_arrondissements,75110,75110,1638,5612,15567,22817,33298,68.2254,7.17886
paris_arrondissements,75109,75109,1553,4071,11965,17589,20989,68.0255,8.82938
paris_arrondissements,75105,75105,1303,4118,10700,16121,21935,66.3731,8.08263
paris_arrondissements,75108,75108,1298,3630,9097,14025,16174,64.8627,9.2549
paris_arrondissements,75106,75106,1200,3233,9889,14322,16206,69.0476,8.37872
paris_arrondissements,75104,75104,770,2039,7134,9943,12709,71.749,7.74414
paris_arrondissements,75103,75103,740,2407,8425,11572,14126,72.805,6.39475
paris_arrondissements,75101,75101,602,1141,4765,6508,7881,73.2176,9.25015
paris_arrondissements,75102,75102,544,1554,5716,7814,9159,73.1508,6.96186
sous_critere,protection_solaire_exterieure|insuffisant,Protection solaire exterieure,,,,4144821,,14.7673,
sous_critere,protection_solaire_exterieure|bon,Protection solaire exterieure,,,,1793312,,65.6519,
sous_critere,logement_traversant|insuffisant,Logement traversant,,,,4144821,,74.8686,
sous_critere,logement_traversant|bon,Logement traversant,,,,1793312,,80.1693,
sous_critere,presence_brasseur_air|insuffisant,Brasseur d'air,,,,4144821,,3.47118,
sous_critere,presence_brasseur_air|bon,Brasseur d'air,,,,1793312,,8.51949,
sous_critere,inertie_lourde|insuffisant,Inertie lourde,,,,4118081,,28.8723,
sous_critere,inertie_lourde|bon,Inertie lourde,,,,1707601,,66.4141,
sous_critere,isolation_toiture|insuffisant,Isolation toiture,,,,4123603,,56.8444,
sous_critere,isolation_toiture|bon,Isolation toiture,,,,1777970,,48.7174,
